Area Type, Area, Area Name, Standard Occupational Code, Occupational Title, Employment,Mean Wage, Median Wage, Entry Wage, Experienced Wage                                                                                                                                                                                                                                             
10,3,Finger Lakes,51-6031,Sewing Machine Operators,570,28860,26910,24544,31090
10,3,Finger Lakes,51-6052,"Tailors, Dressmakers, and Custom Sewers",60,32870,29280,25290,36660
10,3,Finger Lakes,51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",,28970,26810,24544,31290
10,3,Finger Lakes,51-6092,Fabric and Apparel Patternmakers,,48450,50290,36500,54420
10,3,Finger Lakes,51-6093,Upholsterers,,41860,38200,30150,47710
10,3,Finger Lakes,51-7011,Cabinetmakers and Bench Carpenters,240,38380,36750,28040,43550
10,3,Finger Lakes,51-7021,Furniture Finishers,50,37260,36790,31090,40340
10,3,Finger Lakes,51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",60,32080,31080,27950,34140
10,3,Finger Lakes,51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",140,32760,31110,25800,36250
10,3,Finger Lakes,51-8013,Power Plant Operators,130,72800,64890,44290,87050
10,3,Finger Lakes,51-8021,Stationary Engineers and Boiler Operators,290,66300,65700,49580,74660
10,3,Finger Lakes,51-8031,Water and Wastewater Treatment Plant and System Operators,470,55510,56590,43040,61750
10,3,Finger Lakes,51-8091,Chemical Plant and System Operators,50,45450,41640,29350,53500
10,3,Finger Lakes,51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",,42920,42200,36920,45930
10,3,Finger Lakes,51-9011,Chemical Equipment Operators and Tenders,,55590,54270,38900,63930
10,3,Finger Lakes,51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",390,40580,34410,26570,47590
10,3,Finger Lakes,51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",150,41460,41810,30590,46890
10,3,Finger Lakes,51-9022,"Grinding and Polishing Workers, Hand",150,29590,26730,25270,31750
10,3,Finger Lakes,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",360,42210,41790,29740,48450
10,3,Finger Lakes,51-9031,"Cutters and Trimmers, Hand",60,31530,27630,24720,34940
10,3,Finger Lakes,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",310,36900,36180,27070,41820
10,3,Finger Lakes,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",370,38060,37910,29070,42550
10,3,Finger Lakes,51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",80,41490,41640,35100,44690
10,3,Finger Lakes,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",3120,43310,40560,29430,50260
10,3,Finger Lakes,51-9071,Jewelers and Precious Stone and Metal Workers,,54570,52940,43410,60140
10,3,Finger Lakes,51-9081,Dental Laboratory Technicians,270,53830,52990,36030,62730
10,3,Finger Lakes,51-9082,Medical Appliance Technicians,,45700,41940,35430,50830
10,3,Finger Lakes,51-9083,Ophthalmic Laboratory Technicians,850,39280,37180,29640,44100
10,3,Finger Lakes,51-9111,Packaging and Filling Machine Operators and Tenders,2170,34670,32160,25630,39190
10,3,Finger Lakes,51-9123,"Painting, Coating, and Decorating Workers",130,38770,36420,26650,44830
10,3,Finger Lakes,51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",500,39130,35390,28170,44610
10,3,Finger Lakes,51-9161,Computer Numerically Controlled Tool Operators,980,38360,37230,28140,43470
10,3,Finger Lakes,51-9162,Computer Numerically Controlled Tool Programmers,170,57180,58370,38230,66660
10,3,Finger Lakes,51-9191,Adhesive Bonding Machine Operators and Tenders,,36550,32250,29130,40260
10,3,Finger Lakes,51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",80,35900,34870,27600,40050
10,3,Finger Lakes,51-9193,Cooling and Freezing Equipment Operators and Tenders,,57120,53230,42430,64460
10,3,Finger Lakes,51-9194,Etchers and Engravers,,42750,39910,34510,46870
10,3,Finger Lakes,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",110,34650,33320,27790,38070
10,3,Finger Lakes,51-9196,"Paper Goods Machine Setters, Operators, and Tenders",500,34780,32270,26000,39170
10,3,Finger Lakes,51-9198,Helpers--Production Workers,640,30680,27260,24970,33530
10,3,Finger Lakes,51-9199,"Production Workers, All Other",500,32550,26170,24830,36410
10,3,Finger Lakes,53-0000,Transportation and Material Moving Occupations,36930,35940,31800,25810,41010
10,3,Finger Lakes,53-1041,Aircraft Cargo Handling Supervisors,,60270,71210,34890,72960
10,3,Finger Lakes,53-1047,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",1270,56860,56490,37530,66520
10,3,Finger Lakes,53-2012,Commercial Pilots,,96500,92200,64050,112720
10,3,Finger Lakes,53-3031,Driver/Sales Workers,900,37190,34660,27250,42160
10,3,Finger Lakes,53-3032,Heavy and Tractor-Trailer Truck Drivers,4690,46240,45030,35260,51720
10,3,Finger Lakes,53-3033,Light Truck or Delivery Services Drivers,3270,33970,29890,25330,38290
10,3,Finger Lakes,53-3052,"Bus Drivers, Transit and Intercity",590,52080,48700,33400,61420
10,3,Finger Lakes,53-3058,"Passenger Vehicle Drivers, Except Bus Drivers, Transit and Intercity",5040,36000,34040,27010,40490
10,3,Finger Lakes,53-3099,"Motor Vehicle Operators, All Other",260,31730,25990,25180,35010
10,3,Finger Lakes,53-6021,Parking Lot Attendants,480,27730,26440,25280,28950
10,3,Finger Lakes,53-6031,Automotive and Watercraft Service Attendants,,26540,25030,24544,27550
10,3,Finger Lakes,53-6041,Traffic Technicians,,55940,57270,43300,62260
10,3,Finger Lakes,53-6098,"Aircraft Service Attendants and Transportation Workers, All Other",,31120,28770,25670,33850
10,3,Finger Lakes,53-7011,Conveyor Operators and Tenders,210,33990,33340,26720,37630
10,3,Finger Lakes,53-7021,Crane and Tower Operators,,58730,51730,45730,65220
10,3,Finger Lakes,53-7051,Industrial Truck and Tractor Operators,1520,37930,36600,29640,42080
10,3,Finger Lakes,53-7061,Cleaners of Vehicles and Equipment,1420,28030,26040,25140,29480
10,3,Finger Lakes,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",7790,33440,30240,25490,37420
10,3,Finger Lakes,53-7063,Machine Feeders and Offbearers,200,33080,30270,26930,36160
10,3,Finger Lakes,53-7064,"Packers and Packagers, Hand",1350,28790,26990,25010,30680
10,3,Finger Lakes,53-7065,Stockers and Order Fillers,7160,30220,27300,25460,32590
10,3,Finger Lakes,53-7081,Refuse and Recyclable Material Collectors,220,33830,27250,25220,38130
10,3,Finger Lakes,53-7121,"Tank Car, Truck, and Ship Loaders",,45600,46150,45580,45610
10,3,Finger Lakes,53-7199,"Material Moving Workers, All Other",,28160,25670,25500,29490
10,4,Hudson Valley,00-0000,"Total, All Occupations",966290,60670,45220,27760,77120
10,4,Hudson Valley,11-0000,Management Occupations,45000,141910,123840,68440,178650
10,4,Hudson Valley,11-1011,Chief Executives,680,195420,170250,99730,243260
10,4,Hudson Valley,11-1021,General and Operations Managers,17360,140720,117190,59710,181220
10,4,Hudson Valley,11-1031,Legislators,840,90040,93480,79570,95280
10,4,Hudson Valley,11-2011,Advertising and Promotions Managers,,153530,138300,87880,186360
10,4,Hudson Valley,11-2021,Marketing Managers,1110,179840,164900,110600,214460
10,4,Hudson Valley,11-2022,Sales Managers,1700,171240,163320,89470,212120
10,4,Hudson Valley,11-2030,Public Relations and Fundraising Managers,230,164610,154940,103940,194940
10,4,Hudson Valley,11-3010,Administrative Services Managers,1460,136170,128720,85110,161700
10,4,Hudson Valley,11-3021,Computer and Information Systems Managers,1870,177510,173320,89820,221350
10,4,Hudson Valley,11-3031,Financial Managers,2870,182020,164130,96410,224820
10,4,Hudson Valley,11-3051,Industrial Production Managers,480,144190,135320,92510,170020
10,4,Hudson Valley,11-3071,"Transportation, Storage, and Distribution Managers",530,132110,115820,79310,158510
10,4,Hudson Valley,11-3111,Compensation and Benefits Managers,,173350,153970,113430,203320
10,4,Hudson Valley,11-3121,Human Resources Managers,600,162610,153750,92680,197570
10,4,Hudson Valley,11-3131,Training and Development Managers,270,150790,142590,87930,182220
10,4,Hudson Valley,11-9021,Construction Managers,1220,150590,142450,90930,180420
10,4,Hudson Valley,11-9031,"Education Administrators, Preschool and Childcare Center/Program",450,77550,70440,50770,90940
10,4,Hudson Valley,11-9032,"Education Administrators, Elementary and Secondary School",2270,142040,145570,90580,167770
10,4,Hudson Valley,11-9033,"Education Administrators, Postsecondary",920,128890,111300,65370,160650
10,4,Hudson Valley,11-9039,"Education Administrators, All Other",340,90540,78270,61240,105180
10,4,Hudson Valley,11-9041,Architectural and Engineering Managers,610,174240,173500,121820,200440
10,4,Hudson Valley,11-9051,Food Service Managers,1470,73720,71470,56190,82490
10,4,Hudson Valley,11-9081,Lodging Managers,,78700,71780,55480,90310
10,4,Hudson Valley,11-9111,Medical and Health Services Managers,2930,151380,130340,91480,181330
10,4,Hudson Valley,11-9131,Postmasters and Mail Superintendents,200,79170,77090,68930,84290
10,4,Hudson Valley,11-9141,"Property, Real Estate, and Community Association Managers",760,105090,85090,45800,134730
10,4,Hudson Valley,11-9151,Social and Community Service Managers,1630,88750,82510,60440,102900
10,4,Hudson Valley,11-9161,Emergency Management Directors,,112160,109920,72830,131830
10,4,Hudson Valley,11-9171,Funeral Home Managers,130,133810,140570,102780,149330
10,4,Hudson Valley,11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",1190,105660,96220,51840,132570
10,4,Hudson Valley,13-0000,Business and Financial Operations Occupations,40790,92230,79490,48860,113910
10,4,Hudson Valley,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",120,121610,131120,72670,146090
10,4,Hudson Valley,13-1020,Buyers and Purchasing Agents,2920,84480,76560,49400,102030
10,4,Hudson Valley,13-1031,"Claims Adjusters, Examiners, and Investigators",880,74670,73990,52470,85770
10,4,Hudson Valley,13-1041,Compliance Officers,2110,75420,67490,49030,88610
10,4,Hudson Valley,13-1051,Cost Estimators,1200,80500,75030,49040,96230
10,4,Hudson Valley,13-1071,Human Resources Specialists,2660,74600,70790,46560,88620
10,4,Hudson Valley,13-1075,Labor Relations Specialists,600,88720,64890,57490,104330
10,4,Hudson Valley,13-1081,Logisticians,360,79510,76150,52940,92800
10,4,Hudson Valley,13-1111,Management Analysts,3710,120180,98390,57930,151310
10,4,Hudson Valley,13-1121,"Meeting, Convention, and Event Planners",850,52720,47290,28930,64620
10,4,Hudson Valley,13-1131,Fundraisers,660,67330,61110,39510,81240
10,4,Hudson Valley,13-1141,"Compensation, Benefits, and Job Analysis Specialists",480,80920,77730,59740,91510
10,4,Hudson Valley,13-1151,Training and Development Specialists,2080,76910,72270,44170,93280
10,4,Hudson Valley,13-1161,Market Research Analysts and Marketing Specialists,3910,74780,70120,38740,92790
10,4,Hudson Valley,13-1198,"Project Management Specialists and Business Operations Specialists, All Other",3860,86120,82110,46500,105930
10,4,Hudson Valley,13-2011,Accountants and Auditors,7640,101860,87710,60190,122700
10,4,Hudson Valley,13-2020,Appraisers and Assessors of Real Estate,300,67440,61960,41610,80360
10,4,Hudson Valley,13-2031,Budget Analysts,270,79280,74320,54400,91710
10,4,Hudson Valley,13-2041,Credit Analysts,290,115820,107130,62730,142370
10,4,Hudson Valley,13-2052,Personal Financial Advisors,1010,165340,124270,59370,218330
10,4,Hudson Valley,13-2053,Insurance Underwriters,640,95150,81260,52780,116340
10,4,Hudson Valley,13-2061,Financial Examiners,,110670,85740,62830,134590
10,4,Hudson Valley,13-2071,Credit Counselors,160,60490,56140,41010,70230
10,4,Hudson Valley,13-2072,Loan Officers,1370,125470,101560,45940,165230
10,4,Hudson Valley,13-2081,"Tax Examiners and Collectors, and Revenue Agents",280,76200,74730,49200,89710
10,4,Hudson Valley,13-2082,Tax Preparers,,74420,75690,43720,89770
10,4,Hudson Valley,13-2098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",1500,107700,93890,59330,131880
10,4,Hudson Valley,15-0000,Computer and Mathematical Occupations,17110,101100,93100,53980,124660
10,4,Hudson Valley,15-1211,Computer Systems Analysts,3010,127980,118200,72990,155480
10,4,Hudson Valley,15-1212,Information Security Analysts,280,118000,115130,76070,138960
10,4,Hudson Valley,15-1221,Computer and Information Research Scientists,,177690,162760,97590,217730
10,4,Hudson Valley,15-1231,Computer Network Support Specialists,1180,88020,82920,52920,105570
10,4,Hudson Valley,15-1232,Computer User Support Specialists,3600,59760,56430,37530,70880
10,4,Hudson Valley,15-1241,Computer Network Architects,610,104050,106630,53670,129240
10,4,Hudson Valley,15-1244,Network and Computer Systems Administrators,1620,103730,97300,63820,123690
10,4,Hudson Valley,15-1245,Database Administrators and Architects,510,92140,89230,55760,110340
10,4,Hudson Valley,15-1251,Computer Programmers,850,94360,92600,61080,111000
10,4,Hudson Valley,15-1256,Software Developers and Software Quality Assurance Analysts and Testers,3920,126750,125290,82880,148690
10,4,Hudson Valley,15-1257,Web Developers and Digital Interface Designers,710,78420,64590,51000,92130
10,4,Hudson Valley,15-1299,"Computer Occupations, All Other",400,78830,78610,44820,95840
10,4,Hudson Valley,15-2011,Actuaries,,175300,151120,97350,214270
10,4,Hudson Valley,15-2031,Operations Research Analysts,160,93230,77580,46360,116670
10,4,Hudson Valley,15-2041,Statisticians,130,97510,97270,70480,111020
10,4,Hudson Valley,17-0000,Architecture and Engineering Occupations,9810,99570,90890,58840,119940
10,4,Hudson Valley,17-1011,"Architects, Except Landscape and Naval",500,115370,112750,69860,138130
10,4,Hudson Valley,17-1012,Landscape Architects,,67110,60480,58060,71630
10,4,Hudson Valley,17-1022,Surveyors,,70140,62130,41510,84460
10,4,Hudson Valley,17-2031,Biomedical Engineers,,96360,97060,73260,107900
10,4,Hudson Valley,17-2041,Chemical Engineers,,108000,103430,90320,116850
10,4,Hudson Valley,17-2051,Civil Engineers,1850,120220,99350,66450,147110
10,4,Hudson Valley,17-2071,Electrical Engineers,1280,119990,118570,81950,139000
10,4,Hudson Valley,17-2072,"Electronics Engineers, Except Computer",440,93900,84440,63610,109050
10,4,Hudson Valley,17-2081,Environmental Engineers,250,107580,100140,67040,127850
10,4,Hudson Valley,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",180,115040,107820,72310,136400
10,4,Hudson Valley,17-2112,Industrial Engineers,1090,99480,95650,66190,116120
10,4,Hudson Valley,17-2141,Mechanical Engineers,840,96080,90660,67760,110250
10,4,Hudson Valley,17-2199,"Engineers, All Other",390,98450,99590,55420,119970
10,4,Hudson Valley,17-3011,Architectural and Civil Drafters,310,64620,62840,45440,74220
10,4,Hudson Valley,17-3012,Electrical and Electronics Drafters,,58320,56020,37710,68630
10,4,Hudson Valley,17-3013,Mechanical Drafters,150,70370,64930,46770,82170
10,4,Hudson Valley,17-3019,"Drafters, All Other",,68360,67020,47710,78680
10,4,Hudson Valley,17-3022,Civil Engineering Technicians,120,56200,54270,36700,65950
10,4,Hudson Valley,17-3023,Electrical and Electronic Engineering Technicians,750,78300,74010,51690,91600
10,4,Hudson Valley,17-3025,Environmental Engineering Technicians,170,53880,55820,37570,62040
10,4,Hudson Valley,17-3026,Industrial Engineering Technicians,180,59560,55560,36580,71050
10,4,Hudson Valley,17-3027,Mechanical Engineering Technicians,,51060,51780,36590,58300
10,4,Hudson Valley,17-3031,Surveying and Mapping Technicians,120,64120,63900,44600,73870
10,4,Hudson Valley,17-3098,"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other",,73780,72630,57250,82050
10,4,Hudson Valley,19-0000,"Life, Physical, and Social Science Occupations",8090,89350,78970,49020,109520
10,4,Hudson Valley,19-1013,Soil and Plant Scientists,,100790,83440,51530,125420
10,4,Hudson Valley,19-1022,Microbiologists,,74270,69560,53080,84860
10,4,Hudson Valley,19-1023,Zoologists and Wildlife Biologists,,73260,67880,57860,80960
10,4,Hudson Valley,19-1029,"Biological Scientists, All Other",,98360,100610,73290,110900
10,4,Hudson Valley,19-1031,Conservation Scientists,,76060,71610,50830,88670
10,4,Hudson Valley,19-1041,Epidemiologists,,88670,84010,57300,104360
10,4,Hudson Valley,19-1042,"Medical Scientists, Except Epidemiologists",910,134530,118320,79050,162270
10,4,Hudson Valley,19-2012,Physicists,,177600,166290,95800,218490
10,4,Hudson Valley,19-2031,Chemists,610,97200,84460,59040,116280
10,4,Hudson Valley,19-2041,"Environmental Scientists and Specialists, Including Health",790,90880,80550,57240,107700
10,4,Hudson Valley,19-2042,"Geoscientists, Except Hydrologists and Geographers",,74320,74310,54230,84370
10,4,Hudson Valley,19-3022,Survey Researchers,,80880,81990,51640,95500
10,4,Hudson Valley,19-3031,"Clinical, Counseling, and School Psychologists",1500,105390,97130,64470,125840
10,4,Hudson Valley,19-3051,Urban and Regional Planners,110,92920,89770,64680,107030
10,4,Hudson Valley,19-3091,Anthropologists and Archeologists,,51790,49730,37590,58890
10,4,Hudson Valley,19-3093,Historians,,40110,30370,27940,46190
10,4,Hudson Valley,19-3099,"Social Scientists and Related Workers, All Other",,94930,87420,72180,106300
10,4,Hudson Valley,19-4010,Agricultural and Food Science Technicians,,54690,53680,39930,62060
10,4,Hudson Valley,19-4021,Biological Technicians,450,54480,55550,36450,63500
10,4,Hudson Valley,19-4031,Chemical Technicians,520,57220,51140,34630,68520
10,4,Hudson Valley,19-4042,"Environmental Science and Protection Technicians, Including Health",270,53410,49730,41030,59600
10,4,Hudson Valley,19-4061,Social Science Research Assistants,,56570,58450,34660,67530
10,4,Hudson Valley,19-4071,Forest and Conservation Technicians,,46030,46080,44050,47020
10,4,Hudson Valley,19-4092,Forensic Science Technicians,,82810,85410,65820,91300
10,4,Hudson Valley,19-4099,"Life, Physical, and Social Science Technicians, All Other",1050,67360,61540,39530,81280
10,4,Hudson Valley,19-5011,Occupational Health and Safety Specialists,490,93710,87150,64160,108490
10,4,Hudson Valley,19-5012,Occupational Health and Safety Technicians,,66000,64990,50280,73860
10,4,Hudson Valley,21-0000,Community and Social Service Occupations,19940,58270,53190,33300,70750
10,4,Hudson Valley,21-1012,"Educational, Guidance, School, and Vocational Counselors",2400,77610,66100,39140,96850
10,4,Hudson Valley,21-1013,Marriage and Family Therapists,,54770,51180,39720,62290
10,4,Hudson Valley,21-1015,Rehabilitation Counselors,1010,41900,34910,27220,49230
10,4,Hudson Valley,21-1018,"Substance abuse, behavioral disorder, and mental health counselors?(OES-specific code and title)",2280,58120,57290,38480,67940
10,4,Hudson Valley,21-1019,"Counselors, All Other",,54630,48970,37800,63040
10,4,Hudson Valley,21-1021,"Child, Family, and School Social Workers",2480,63120,54250,33920,77720
10,4,Hudson Valley,21-1022,Healthcare Social Workers,1780,62050,60880,42130,72010
10,4,Hudson Valley,21-1023,Mental Health and Substance Abuse Social Workers,1620,64970,66240,46000,74460
10,4,Hudson Valley,21-1029,"Social Workers, All Other",820,68460,71820,43230,81080
10,4,Hudson Valley,21-1091,Health Educators,320,64730,61980,44680,74750
10,4,Hudson Valley,21-1092,Probation Officers and Correctional Treatment Specialists,700,81660,80890,63870,90550
10,4,Hudson Valley,21-1093,Social and Human Service Assistants,4260,39580,37880,28710,45020
10,4,Hudson Valley,21-1094,Community Health Workers,640,48490,47030,34050,55720
10,4,Hudson Valley,21-1099,"Community and Social Service Specialists, All Other",300,64950,64360,49750,72550
10,4,Hudson Valley,21-2011,Clergy,620,64270,54930,31960,80420
10,4,Hudson Valley,21-2021,"Directors, Religious Activities and Education",510,47930,46650,32140,55820
10,4,Hudson Valley,21-2099,"Religious Workers, All Other",,54530,56130,35810,63890
10,4,Hudson Valley,23-0000,Legal Occupations,6730,113210,87040,56190,141720
10,4,Hudson Valley,23-1011,Lawyers,3600,144530,121870,76640,178480
10,4,Hudson Valley,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",,122000,110310,86370,139810
10,4,Hudson Valley,23-1022,"Arbitrators, Mediators, and Conciliators",,95110,106590,56480,114420
10,4,Hudson Valley,23-1023,"Judges, Magistrate Judges, and Magistrates",400,156670,152040,110480,179760
10,4,Hudson Valley,23-2011,Paralegals and Legal Assistants,2400,64050,62000,51580,70280
10,4,Hudson Valley,23-2093,"Title Examiners, Abstractors, and Searchers",,51950,47700,37250,59290
10,4,Hudson Valley,23-2099,"Legal Support Workers, All Other",160,64260,60930,39470,76650
10,4,Hudson Valley,25-0000,"Education, Training, and Library Occupations",86820,75310,65240,31410,97260
10,4,Hudson Valley,25-1011,"Business Teachers, Postsecondary",1060,109010,82200,52740,137140
10,4,Hudson Valley,25-1021,"Computer Science Teachers, Postsecondary",270,94900,76050,50420,117130
10,4,Hudson Valley,25-1022,"Mathematical Science Teachers, Postsecondary",510,111530,90160,55010,139790
10,4,Hudson Valley,25-1032,"Engineering Teachers, Postsecondary",130,108550,97610,72610,126520
10,4,Hudson Valley,25-1042,"Biological Science Teachers, Postsecondary",360,88660,75470,51300,107340
10,4,Hudson Valley,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",,83750,64380,42270,104490
10,4,Hudson Valley,25-1052,"Chemistry Teachers, Postsecondary",230,96430,76200,53830,117730
10,4,Hudson Valley,25-1054,"Physics Teachers, Postsecondary",,120540,110280,58780,151410
10,4,Hudson Valley,25-1061,"Anthropology and Archeology Teachers, Postsecondary",,87350,81360,57690,102180
10,4,Hudson Valley,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",,95810,71620,46240,120590
10,4,Hudson Valley,25-1063,"Economics Teachers, Postsecondary",,132680,119010,61920,168060
10,4,Hudson Valley,25-1065,"Political Science Teachers, Postsecondary",,113420,92070,63720,138270
10,4,Hudson Valley,25-1066,"Psychology Teachers, Postsecondary",360,85830,74890,51350,103060
10,4,Hudson Valley,25-1067,"Sociology Teachers, Postsecondary",160,87620,69290,49100,106880
10,4,Hudson Valley,25-1069,"Social Sciences Teachers, Postsecondary, All Other",320,104220,86590,47920,132370
10,4,Hudson Valley,25-1071,"Health Specialties Teachers, Postsecondary",1070,105630,87100,53500,131700
10,4,Hudson Valley,25-1072,"Nursing Instructors and Teachers, Postsecondary",730,79720,67910,46660,96250
10,4,Hudson Valley,25-1081,"Education Teachers, Postsecondary",870,87760,74420,47350,107970
10,4,Hudson Valley,25-1082,"Library Science Teachers, Postsecondary",,86920,86070,66750,97000
10,4,Hudson Valley,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",220,89850,72820,49500,110020
10,4,Hudson Valley,25-1112,"Law Teachers, Postsecondary",480,132380,107780,40150,178490
10,4,Hudson Valley,25-1113,"Social Work Teachers, Postsecondary",,70240,64180,45160,82770
10,4,Hudson Valley,25-1121,"Art, Drama, and Music Teachers, Postsecondary",1390,94260,78700,50220,116280
10,4,Hudson Valley,25-1122,"Communications Teachers, Postsecondary",350,100220,79590,52070,124300
10,4,Hudson Valley,25-1123,"English Language and Literature Teachers, Postsecondary",840,100310,81190,50290,125320
10,4,Hudson Valley,25-1124,"Foreign Language and Literature Teachers, Postsecondary",200,82830,70580,52100,98190
10,4,Hudson Valley,25-1125,"History Teachers, Postsecondary",240,96700,89530,58930,115580
10,4,Hudson Valley,25-1126,"Philosophy and Religion Teachers, Postsecondary",320,89180,73000,45980,110770
10,4,Hudson Valley,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",120,83170,64420,47690,100910
10,4,Hudson Valley,25-1194,"Vocational Education Teachers, Postsecondary",680,82610,71750,45930,100940
10,4,Hudson Valley,25-1199,"Postsecondary Teachers, All Other",350,103900,82620,55580,128060
10,4,Hudson Valley,25-2011,"Preschool Teachers, Except Special Education",3310,42160,37420,28060,49210
10,4,Hudson Valley,25-2012,"Kindergarten Teachers, Except Special Education",1070,93700,85650,48620,116240
10,4,Hudson Valley,25-2021,"Elementary School Teachers, Except Special Education",14660,98470,94680,53490,120960
10,4,Hudson Valley,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",6880,101110,99250,65230,119050
10,4,Hudson Valley,25-2023,"Career/Technical  Education Teachers, Middle School",150,99830,99440,63230,118130
10,4,Hudson Valley,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",7660,102510,103020,63200,122170
10,4,Hudson Valley,25-2032,"Career/Technical Education Teachers, Secondary School",400,86390,83110,63030,98070
10,4,Hudson Valley,25-2051,"Special Education Teachers, Preschool",590,78170,65940,50790,91850
10,4,Hudson Valley,25-2052,"Special Education Teachers, Kindergarten and Elementary School",2280,101640,96380,64850,120030
10,4,Hudson Valley,25-2057,"Special Education Teachers, Middle School",1730,95560,93480,63270,111700
10,4,Hudson Valley,25-2058,"Special Education Teachers, Secondary School",,98390,97640,66060,114560
10,4,Hudson Valley,25-2059,"Special Education Teachers, All Other",220,75810,71370,58000,84720
10,4,Hudson Valley,25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,,65100,61700,44650,75330
10,4,Hudson Valley,25-3021,Self-Enrichment Education Teachers,3900,66770,56460,30650,84830
10,4,Hudson Valley,25-3031,"Substitute Teachers, Short-Term",3170,38090,34310,27400,43430
10,4,Hudson Valley,25-3097,"Teachers and Instructors, All Other, Except Substitute Teachers",1680,58540,41000,26650,74490
10,4,Hudson Valley,25-4011,Archivists,,54970,49200,44060,60420
10,4,Hudson Valley,25-4012,Curators,,72250,72420,56650,80050
10,4,Hudson Valley,25-4013,Museum Technicians and Conservators,,44760,44760,26830,53730
10,4,Hudson Valley,25-4022,Librarians and Media Collections Specialists,1460,75340,69530,49060,88490
10,4,Hudson Valley,25-4031,Library Technicians,1090,35420,29810,25320,40470
10,4,Hudson Valley,25-9031,Instructional Coordinators,1300,65000,60070,36330,79340
10,4,Hudson Valley,25-9044,"Teaching Assistants, Postsecondary",310,45980,41320,32160,52890
10,4,Hudson Valley,25-9045,"Teaching Assistants, Except Postsecondary",19990,35520,31590,25530,40520
10,4,Hudson Valley,25-9099,"Education, Training, and Library Workers, All Other",,57680,55270,41450,65790
10,4,Hudson Valley,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",11050,68560,55280,30550,87570
10,4,Hudson Valley,27-1011,Art Directors,140,110250,102110,67340,131700
10,4,Hudson Valley,27-1012,Craft Artists,,45920,53790,26090,55830
10,4,Hudson Valley,27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",130,81340,53630,24600,109710
10,4,Hudson Valley,27-1019,"Artists and Related Workers, All Other",,64640,61290,39150,77390
10,4,Hudson Valley,27-1021,Commercial and Industrial Designers,,68460,57240,46270,79560
10,4,Hudson Valley,27-1023,Floral Designers,,29770,29000,26400,31450
10,4,Hudson Valley,27-1024,Graphic Designers,1260,59150,53760,32200,72630
10,4,Hudson Valley,27-1025,Interior Designers,,61140,61370,46750,68330
10,4,Hudson Valley,27-1026,Merchandise Displayers and Window Trimmers,510,40040,35870,27930,46090
10,4,Hudson Valley,27-1029,"Designers, All Other",,49190,35240,26670,60450
10,4,Hudson Valley,27-2021,Athletes and Sports Competitors,,69230,50510,33060,87320
10,4,Hudson Valley,27-2022,Coaches and Scouts,1500,53730,43710,27630,66770
10,4,Hudson Valley,27-2041,Music Directors and Composers,,83720,64450,42390,104390
10,4,Hudson Valley,27-3011,Radio and Television Announcers,,62020,50320,35630,75210
10,4,Hudson Valley,27-3023,"News Analysts, Reporters, and Journalist",340,49410,46110,34110,57070
10,4,Hudson Valley,27-3031,Public Relations Specialists,1380,69250,62640,36020,85870
10,4,Hudson Valley,27-3041,Editors,830,73170,63970,41900,88810
10,4,Hudson Valley,27-3042,Technical Writers,110,91910,89530,57110,109320
10,4,Hudson Valley,27-3043,Writers and Authors,330,80230,82050,53780,93460
10,4,Hudson Valley,27-3091,Interpreters and Translators,,80030,71720,49240,95420
